College name,Location,Established,Affliation,Coursed offred,Coursed duretion,Admition criteria,Entrance Exam,Hostel avilibiliry,Hostelfee,Course fee,Placement,Facilities,Contact information,Website
"Government Polytechnic College, Ajmer","Ajmer, Rajasthan, India",1958,"Board of Technical Education, Rajasthan",Diploma in Civil Engineering,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Canteen, Hostel, Sports","Phone: +91-145-2426350, Email: gp.ajmer@rajasthan.gov.in",http://gpajmer.ac.in
"Government Polytechnic College, Ajmer","Ajmer, Rajasthan, India",1958,"Board of Technical Education, Rajasthan",Diploma in Mechanical Engineering,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Canteen, Hostel, Sports","Phone: +91-145-2426350, Email: gp.ajmer@rajasthan.gov.in",http://gpajmer.ac.in
"Government Polytechnic College, Ajmer","Ajmer, Rajasthan, India",1958,"Board of Technical Education, Rajasthan",Diploma in Electrical Engineering,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Canteen, Hostel, Sports","Phone: +91-145-2426350, Email: gp.ajmer@rajasthan.gov.in",http://gpajmer.ac.in
"Government Polytechnic College, Ajmer","Ajmer, Rajasthan, India",1958,"Board of Technical Education, Rajasthan",Diploma in Electronics Engineering,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Canteen, Hostel, Sports","Phone: +91-145-2426350, Email: gp.ajmer@rajasthan.gov.in",http://gpajmer.ac.in
"Government Polytechnic College, Ajmer","Ajmer, Rajasthan, India",1958,"Board of Technical Education, Rajasthan",Diploma in Computer Science Engineering,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Canteen, Hostel, Sports","Phone: +91-145-2426350, Email: gp.ajmer@rajasthan.gov.in",http://gpajmer.ac.in
"Government Polytechnic College, Ajmer","Ajmer, Rajasthan, India",1958,"Board of Technical Education, Rajasthan",Diploma in Information Technology,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Canteen, Hostel, Sports","Phone: +91-145-2426350, Email: gp.ajmer@rajasthan.gov.in",http://gpajmer.ac.in
"Government Polytechnic College, Alwar","Alwar, Rajasthan, India",1960,"Board of Technical Education, Rajasthan",Diploma in Civil Engineering,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹4,000-₹6,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Sports, Canteen","Phone: +91-144-2331684, Email: gpalwar@rajasthan.gov.in",http://gpalwar.ac.in
"Government Polytechnic College, Alwar","Alwar, Rajasthan, India",1960,"Board of Technical Education, Rajasthan",Diploma in Mechanical Engineering,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹4,000-₹6,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Sports, Canteen","Phone: +91-144-2331684, Email: gpalwar@rajasthan.gov.in",http://gpalwar.ac.in
"Government Polytechnic College, Alwar","Alwar, Rajasthan, India",1960,"Board of Technical Education, Rajasthan",Diploma in Electrical Engineering,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹4,000-₹6,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Sports, Canteen","Phone: +91-144-2331684, Email: gpalwar@rajasthan.gov.in",http://gpalwar.ac.in
"Government Polytechnic College, Alwar","Alwar, Rajasthan, India",1960,"Board of Technical Education, Rajasthan",Diploma in Electronics Engineering,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹4,000-₹6,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Sports, Canteen","Phone: +91-144-2331684, Email: gpalwar@rajasthan.gov.in",http://gpalwar.ac.in
"Government Polytechnic College, Alwar","Alwar, Rajasthan, India",1960,"Board of Technical Education, Rajasthan",Diploma in Computer Science Engineering,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹4,000-₹6,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Sports, Canteen","Phone: +91-144-2331684, Email: gpalwar@rajasthan.gov.in",http://gpalwar.ac.in
"Government Polytechnic College, Alwar","Alwar, Rajasthan, India",1960,"Board of Technical Education, Rajasthan",Diploma in Information Technology,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹4,000-₹6,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Sports, Canteen","Phone: +91-144-2331684, Email: gpalwar@rajasthan.gov.in",http://gpalwar.ac.in
"Government Polytechnic College, Alwar","Alwar, Rajasthan, India",1960,"Board of Technical Education, Rajasthan",Diploma in Mechatronics Engineering,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹4,000-₹6,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Sports, Canteen","Phone: +91-144-2331684, Email: gpalwar@rajasthan.gov.in",http://gpalwar.ac.in
"Government Polytechnic College, Bagidora","Bagidora, Banswara, Rajasthan, India",2010,"Board of Technical Education, Rajasthan",Diploma in Civil Engineering,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-2965-288224, Email: gpcbagidora@rajasthan.gov.in",http://gpalwar.ac.in
"Government Polytechnic College, Bagidora","Bagidora, Banswara, Rajasthan, India",2010,"Board of Technical Education, Rajasthan",Diploma in Mechanical Engineering,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-2965-288224, Email: gpcbagidora@rajasthan.gov.in",http://gpalwar.ac.in
"Government Polytechnic College, Bagidora","Bagidora, Banswara, Rajasthan, India",2010,"Board of Technical Education, Rajasthan",Diploma in Electrical Engineering,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-2965-288224, Email: gpcbagidora@rajasthan.gov.in",http://gpalwar.ac.in
"Government Polytechnic College, Banswara","Banswara, Rajasthan, India",2006,"Board of Technical Education, Rajasthan",Diploma in Civil Engineering,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-2962-241109, Email: gpcbanswara@rajasthan.gov.in",http://gpcbanswara.ac.in
"Government Polytechnic College, Banswara","Banswara, Rajasthan, India",2006,"Board of Technical Education, Rajasthan",Diploma in Mechanical Engineering,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-2962-241109, Email: gpcbanswara@rajasthan.gov.in",http://gpcbanswara.ac.in
"Government Polytechnic College, Banswara","Banswara, Rajasthan, India",2006,"Board of Technical Education, Rajasthan",Diploma in Electrical Engineering,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-2962-241109, Email: gpcbanswara@rajasthan.gov.in",http://gpcbanswara.ac.in
"Government Polytechnic College, Bikaner","Bikaner, Rajasthan, India",1960,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-151-2544929,Email: gpcbikaner@rajasthan.gov.in",http://gpcbikaner.ac.in
"Government Polytechnic College, Bikaner","Bikaner, Rajasthan, India",1960,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-151-2544929,Email: gpcbikaner@rajasthan.gov.in",http://gpcbikaner.ac.in
"Government Polytechnic College, Bikaner","Bikaner, Rajasthan, India",1960,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-151-2544929,Email: gpcbikaner@rajasthan.gov.in",http://gpcbikaner.ac.in
"Government Polytechnic College, Bikaner","Bikaner, Rajasthan, India",1960,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-151-2544929,Email: gpcbikaner@rajasthan.gov.in",http://gpcbikaner.ac.in
"Government Polytechnic College, Bikaner","Bikaner, Rajasthan, India",1960,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-151-2544929,Email: gpcbikaner@rajasthan.gov.in",http://gpcbikaner.ac.in
"Government Polytechnic College, Bikaner","Bikaner, Rajasthan, India",1960,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-151-2544929,Email: gpcbikaner@rajasthan.gov.in",http://gpcbikaner.ac.in
"Government Polytechnic College, Bikaner","Bikaner, Rajasthan, India",1960,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-151-2544929,Email: gpcbikaner@rajasthan.gov.in",http://gpcbikaner.ac.in
"Government Polytechnic College, Bikaner","Bikaner, Rajasthan, India",1960,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-151-2544929,Email: gpcbikaner@rajasthan.gov.in",http://gpcbikaner.ac.in
,"Bharatpur, Rajasthan, India",2010,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-5644-220334,Email: gpcbharatpur@rajasthan.gov.in",http://hte.rajasthan.gov.in
"Shri Gokul Verma Government Polytechnic College, Bharatpur","Bharatpur, Rajasthan, India",2010,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-5644-220334,Email: gpcbharatpur@rajasthan.gov.in",http://hte.rajasthan.gov.in
"Shri Gokul Verma Government Polytechnic College, Bharatpur","Bharatpur, Rajasthan, India",2010,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-5644-220334,Email: gpcbharatpur@rajasthan.gov.in",http://hte.rajasthan.gov.in
"Shri Gokul Verma Government Polytechnic College, Bharatpur","Bharatpur, Rajasthan, India",2010,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-5644-220334,Email: gpcbharatpur@rajasthan.gov.in",http://hte.rajasthan.gov.in
"Shri Gokul Verma Government Polytechnic College, Bharatpur","Bharatpur, Rajasthan, India",2010,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-5644-220334,Email: gpcbharatpur@rajasthan.gov.in",http://hte.rajasthan.gov.in
"Government Polytechnic College, Bhilwara","Bhilwara, Rajasthan, India",2006,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-1482-242946, Email: gpcb@rajasthan.gov.in",http://gpcbhilwara.ac.in
"Government Polytechnic College, Bhilwara","Bhilwara, Rajasthan, India",2006,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-1482-242946, Email: gpcb@rajasthan.gov.in",http://gpcbhilwara.ac.in
